,copy,article,colour,image,month,order number,party,price,size,year
0,1.0,17G204,BROWN,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\17G204.jpg,6,123,123,,42,2024
1,1.0,17G204,BROWN,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\17G204.jpg,6,123,123,,43,2024
2,1.0,17G204,BROWN,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\17G204.jpg,6,123,123,,44,2024
3,1.0,17G204,BROWN,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\17G204.jpg,6,123,123,,45,2024
4,1.0,17G205,BLACK,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\17G205.jpg,6,123,123,,42,2024
5,1.0,17G205,BLACK,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\17G205.jpg,6,123,123,,43,2024
6,1.0,17G205,BLACK,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\17G205.jpg,6,123,123,,44,2024
7,1.0,17G205,BLACK,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\17G205.jpg,6,123,123,,45,2024
8,1.0,1G066,BLACK,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\1G066.jpg,6,123,123,,42,2024
9,1.0,1G066,BLACK,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\1G066.jpg,6,123,123,,43,2024
10,1.0,1G066,BLACK,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\1G066.jpg,6,123,123,,44,2024
11,1.0,1G066,BLACK,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\1G066.jpg,6,123,123,,45,2024
12,1.0,1G166,BROWN,D:\Dropbox\Batty's company\PRODUCTION\LABEL MAKING\LABEL IMAGES\1G166.jpg,6,123,123,1695.0,42,2024
